Id;Partner;Anlage;Commodity;Produkt;Lieferung von;Lieferung bis;Leistung (MW);Leistungspreis (CHF/MWh);Arbeitspreis (EUR/MWh);Flex/Fix;Bezuschlagte Leistung (MW);Opportunitätskosten (EUR/MWh);Status
#4419520;Helion;HEMSHELION;TRL-;TRL-_20-24;28.03.2026 20:00;29.03.2026 00:00;1;0.79;-15000;Fix;1;0.5925;bezuschlagt
#4419519;Helion;HEMSHELION;TRL-;TRL-_12-16;28.03.2026 12:00;28.03.2026 16:00;0.5;1.05;-15000;Fix;0.34;0.7875;bezuschlagt
#4419518;Helion;HEMSHELION;TRL-;TRL-_08-12;28.03.2026 08:00;28.03.2026 12:00;0.5;1.05;-15000;Fix;0.5;0.7875;bezuschlagt
#4419517;Helion;HEMSHELION;TRL-;TRL-_04-08;28.03.2026 04:00;28.03.2026 08:00;0.9;0.67;-15000;Fix;0.9;0.5025;bezuschlagt
#4419516;Helion;HEMSHELION;TRL-;TRL-_00-04;28.03.2026 00:00;28.03.2026 04:00;1.3;0.69;-15000;Fix;1.3;0.5175;bezuschlagt
#4414072;Helion;HEMSHELION;TRL-;TRL-_20-24;27.03.2026 20:00;28.03.2026 00:00;1;0.9;-15000;Fix;0;0.675;nicht bezuschlagt
#4414071;Helion;HEMSHELION;TRL-;TRL-_12-16;27.03.2026 12:00;27.03.2026 16:00;0.6;1;-15000;Fix;0.4;0.75;bezuschlagt
#4414070;Helion;HEMSHELION;TRL-;TRL-_08-12;27.03.2026 08:00;27.03.2026 12:00;0.6;1;-15000;Fix;0.6;0.75;bezuschlagt
#4414069;Helion;HEMSHELION;TRL-;TRL-_04-08;27.03.2026 04:00;27.03.2026 08:00;1;0.7;-15000;Fix;1;0.525;bezuschlagt
#4414068;Helion;HEMSHELION;TRL-;TRL-_00-04;27.03.2026 00:00;27.03.2026 04:00;1.4;0.7;-15000;Fix;1.4;0.525;bezuschlagt
#4408744;Helion;HEMSHELION;TRL-;TRL-_20-24;26.03.2026 20:00;27.03.2026 00:00;0.6;0.95;-15000;Fix;0.59;0.7125;bezuschlagt
#4408743;Helion;HEMSHELION;TRL-;TRL-_16-20;26.03.2026 16:00;26.03.2026 20:00;0.3;1.2;-15000;Fix;0;0.9;nicht bezuschlagt
#4408742;Helion;HEMSHELION;TRL-;TRL-_12-16;26.03.2026 12:00;26.03.2026 16:00;0.4;1.55;-15000;Fix;0;1.1625;nicht bezuschlagt
#4408741;Helion;HEMSHELION;TRL-;TRL-_08-12;26.03.2026 08:00;26.03.2026 12:00;0.3;1.55;-15000;Fix;0;1.1625;nicht bezuschlagt
#4408740;Helion;HEMSHELION;TRL-;TRL-_04-08;26.03.2026 04:00;26.03.2026 08:00;0.6;0.77;-15000;Fix;0.3;0.5775;bezuschlagt
#4408739;Helion;HEMSHELION;TRL-;TRL-_00-04;26.03.2026 00:00;26.03.2026 04:00;0.9;0.9;-15000;Fix;0;0.675;nicht bezuschlagt
#4404390;Helion;HEMSHELION;TRL-;TRL-_20-24;25.03.2026 20:00;26.03.2026 00:00;0.9;1;-15000;Fix;0.9;0.75;bezuschlagt
#4404389;Helion;HEMSHELION;TRL-;TRL-_16-20;25.03.2026 16:00;25.03.2026 20:00;0.5;1.2;-15000;Fix;0.5;0.9;bezuschlagt
#4404388;Helion;HEMSHELION;TRL-;TRL-_12-16;25.03.2026 12:00;25.03.2026 16:00;0.5;1.7;-15000;Fix;0.5;1.275;bezuschlagt
#4404387;Helion;HEMSHELION;TRL-;TRL-_08-12;25.03.2026 08:00;25.03.2026 12:00;0.5;1.6;-15000;Fix;0.5;1.2;bezuschlagt
#4404386;Helion;HEMSHELION;TRL-;TRL-_04-08;25.03.2026 04:00;25.03.2026 08:00;0.9;0.8;-15000;Fix;0.9;0.6;bezuschlagt
#4404385;Helion;HEMSHELION;TRL-;TRL-_00-04;25.03.2026 00:00;25.03.2026 04:00;0.8;1;-15000;Fix;0;0.75;nicht bezuschlagt
#4337048;Helion;HEMSHELION;TRL-;TRL-_20-24;24.03.2026 20:00;25.03.2026 00:00;1.1;1.07;-15000;Fix;1.1;0.8025;bezuschlagt
#4337063;Helion;HEMSHELION;TRL-;TRL-_08-12;24.03.2026 08:00;24.03.2026 12:00;0.4;1.72;-15000;Fix;0.4;1.29;bezuschlagt
#4337056;Helion;HEMSHELION;TRL-;TRL-_04-08;24.03.2026 04:00;24.03.2026 08:00;1.1;0.9;-15000;Fix;1.07;0.675;bezuschlagt
#4337052;Helion;HEMSHELION;TRL-;TRL-_00-04;24.03.2026 00:00;24.03.2026 04:00;1.3;0.97;-15000;Fix;1.29;0.7275;bezuschlagt
#4337047;Helion;HEMSHELION;TRL-;TRL-_20-24;23.03.2026 20:00;24.03.2026 00:00;1.1;1.11;-15000;Fix;1;0.8325;bezuschlagt
#4337069;Helion;HEMSHELION;TRL-;TRL-_16-20;23.03.2026 16:00;23.03.2026 20:00;0.45;1.4;-15000;Fix;0.44;1.05;bezuschlagt
#4337066;Helion;HEMSHELION;TRL-;TRL-_12-16;23.03.2026 12:00;23.03.2026 16:00;0.5;2;-15000;Fix;0;1.5;nicht bezuschlagt
#4337062;Helion;HEMSHELION;TRL-;TRL-_08-12;23.03.2026 08:00;23.03.2026 12:00;0.4;2.1;-15000;Fix;0;1.575;nicht bezuschlagt
#4337055;Helion;HEMSHELION;TRL-;TRL-_04-08;23.03.2026 04:00;23.03.2026 08:00;1.1;0.8;-15000;Fix;1.06;0.6;bezuschlagt
#4337051;Helion;HEMSHELION;TRL-;TRL-_00-04;23.03.2026 00:00;23.03.2026 04:00;1.3;1.2;-15000;Fix;0;0.9;nicht bezuschlagt
#4337046;Helion;HEMSHELION;TRL-;TRL-_20-24;22.03.2026 20:00;23.03.2026 00:00;1.1;1.15;;Fix;0;0.8625;nicht bezuschlagt
#4337068;Helion;HEMSHELION;TRL-;TRL-_16-20;22.03.2026 16:00;22.03.2026 20:00;0.6;99;;Fix;0;74.25;nicht bezuschlagt
#4337065;Helion;HEMSHELION;TRL-;TRL-_12-16;22.03.2026 12:00;22.03.2026 16:00;0.5;99;;Fix;0;74.25;nicht bezuschlagt
#4337058;Helion;HEMSHELION;TRL-;TRL-_08-12;22.03.2026 08:00;22.03.2026 12:00;1;99;;Fix;0;74.25;nicht bezuschlagt
#4337060;Helion;HEMSHELION;TRL-;TRL-_08-12;22.03.2026 08:00;22.03.2026 12:00;0.6;99;;Fix;0;74.25;nicht bezuschlagt
#4337050;Helion;HEMSHELION;TRL-;TRL-_00-04;22.03.2026 00:00;22.03.2026 04:00;1.2;1;;Fix;0;0.75;nicht bezuschlagt
