MTU (CET/CEST),Area,Resolution,Price,Currency
              01/01/2022 00:00 - 01/01/2022 01:00,BZN|CH,PT60M,119.97,EUR
              01/01/2022 01:00 - 01/01/2022 02:00,BZN|CH,PT60M,101.54,EUR
              01/01/2022 02:00 - 01/01/2022 03:00,BZN|CH,PT60M,52.13,EUR
              01/01/2022 03:00 - 01/01/2022 04:00,BZN|CH,PT60M,20.78,EUR
              01/01/2022 04:00 - 01/01/2022 05:00,BZN|CH,PT60M,15.66,EUR
              01/01/2022 05:00 - 01/01/2022 06:00,BZN|CH,PT60M,21.47,EUR
              01/01/2022 06:00 - 01/01/2022 07:00,BZN|CH,PT60M,29.89,EUR
              01/01/2022 07:00 - 01/01/2022 08:00,BZN|CH,PT60M,95.33,EUR
              01/01/2022 08:00 - 01/01/2022 09:00,BZN|CH,PT60M,95.36,EUR
              01/01/2022 09:00 - 01/01/2022 10:00,BZN|CH,PT60M,95.43,EUR
              01/01/2022 10:00 - 01/01/2022 11:00,BZN|CH,PT60M,68.42,EUR
              01/01/2022 11:00 - 01/01/2022 12:00,BZN|CH,PT60M,60.88,EUR
              01/01/2022 12:00 - 01/01/2022 13:00,BZN|CH,PT60M,70.72,EUR
              01/01/2022 13:00 - 01/01/2022 14:00,BZN|CH,PT60M,74.99,EUR
              01/01/2022 14:00 - 01/01/2022 15:00,BZN|CH,PT60M,87.46,EUR
              01/01/2022 15:00 - 01/01/2022 16:00,BZN|CH,PT60M,100.16,EUR
              01/01/2022 16:00 - 01/01/2022 17:00,BZN|CH,PT60M,120.09,EUR
              01/01/2022 17:00 - 01/01/2022 18:00,BZN|CH,PT60M,148.89,EUR
              01/01/2022 18:00 - 01/01/2022 19:00,BZN|CH,PT60M,142.30,EUR
              01/01/2022 19:00 - 01/01/2022 20:00,BZN|CH,PT60M,137.76,EUR
              01/01/2022 20:00 - 01/01/2022 21:00,BZN|CH,PT60M,128.55,EUR
              01/01/2022 21:00 - 01/01/2022 22:00,BZN|CH,PT60M,140.62,EUR
