# 09/03/2026 10:10:03 AM: Prices - EPEX Spot Market Auction - switzerland - Currency: EUR
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Baseload,Peakload,Off-peak,Off-peak 2,Off-peak 1,Night,Late morning,Early afternoon,Evening,Early morning,Business,Afternoon,Middle night,Morning,High noon,Rush hour,Sun peak
10/03/2026,144.00,142.02,141.00,,140.08,144.00,153.40,167.65,189.00,169.64,142.47,137.08,130.00,123.33,125.20,128.10,144.01,155.92,180.00,214.97,204.00,165.10,156.70,156.20,155.00,123.33,214.97,154.54,154.56,154.51,158.25,152.64,144.08,144.80,130.16,175.33,163.51,137.48,152.01,141.78,167.19,128.90,188.72,131.29
09/03/2026,133.30,133.02,128.00,,124.90,123.45,137.00,170.00,266.47,163.95,137.10,123.47,116.82,106.62,110.07,111.20,127.82,150.00,210.00,221.88,246.00,180.00,154.83,145.84,137.89,106.62,266.47,152.48,152.08,152.89,154.64,152.02,129.95,135.34,113.93,181.07,174.23,124.63,149.76,129.81,184.38,114.25,206.97,116.00
08/03/2026,133.51,132.51,130.00,,130.00,130.00,129.40,128.82,119.50,107.00,86.71,47.00,17.83,5.50,1.50,7.17,70.54,119.19,146.65,160.38,150.59,134.98,133.10,132.07,125.31,1.50,160.38,103.30,76.67,129.93,131.37,129.22,130.90,64.64,21.18,139.41,126.93,42.91,85.89,131.51,110.51,17.96,144.20,24.92
07/03/2026,128.60,124.12,120.00,,119.99,120.00,124.07,130.99,130.70,118.26,105.52,62.80,25.00,8.79,7.00,10.00,85.59,113.51,147.20,158.02,152.20,137.00,133.98,132.01,124.17,7.00,158.02,104.98,82.82,127.14,131.79,124.81,122.80,77.90,27.85,139.56,126.44,52.87,89.08,123.18,121.37,25.90,142.73,33.20
06/03/2026,134.49,133.69,133.23,,131.50,131.51,134.19,151.69,163.41,140.00,134.20,133.10,128.00,113.46,113.92,120.03,130.91,137.48,158.16,170.01,171.92,148.10,139.04,135.91,131.51,113.46,171.92,138.31,137.60,139.02,138.64,139.21,133.10,133.83,119.58,149.42,145.20,126.70,136.65,133.23,147.33,122.12,159.39,123.24
05/03/2026,140.79,138.08,136.30,,136.30,136.30,140.79,156.00,188.32,158.53,141.59,136.20,117.00,114.31,115.10,115.10,132.90,144.59,180.00,200.00,165.53,148.09,143.00,142.78,136.63,114.31,200.00,144.34,143.40,145.28,142.63,146.61,138.09,138.33,119.35,156.01,155.35,128.84,143.15,137.87,161.11,120.65,172.53,121.77
04/03/2026,125.83,122.91,122.47,,124.05,126.03,135.00,172.00,210.00,190.00,133.78,121.64,105.10,102.40,101.64,102.57,109.50,145.00,200.00,244.00,204.01,155.56,142.94,140.00,132.81,101.64,244.00,144.55,146.64,142.47,142.83,142.29,126.05,137.63,104.03,169.89,160.76,120.83,139.27,123.82,176.45,107.70,198.25,107.14
03/03/2026,111.09,111.09,109.50,,106.34,108.00,112.10,118.81,146.40,125.90,112.10,103.10,93.70,91.40,94.11,95.30,94.27,114.94,150.00,160.10,163.95,135.00,116.10,112.87,105.32,91.40,163.95,116.31,116.57,116.05,117.32,115.42,109.69,108.70,93.77,132.22,121.33,101.24,113.63,109.51,125.80,95.58,147.25,95.31
02/03/2026,94.30,93.64,92.40,,91.73,92.40,103.01,115.39,120.99,116.60,113.09,109.04,99.10,94.31,91.64,93.09,92.39,116.50,141.40,170.00,126.59,118.00,116.93,115.18,111.09,91.64,170.00,109.53,113.65,105.42,115.30,100.48,94.58,109.46,92.86,126.30,107.95,101.16,110.85,93.02,116.52,98.52,138.62,96.60
01/03/2026,104.00,99.61,98.00,,96.00,95.69,96.00,96.10,95.61,95.68,89.79,88.00,84.00,79.02,77.20,77.20,83.40,91.06,107.02,111.43,110.59,105.46,95.74,94.75,89.61,77.20,111.43,94.21,91.20,97.21,96.39,97.63,98.22,89.37,79.21,101.26,95.85,84.29,89.67,99.40,94.30,82.06,105.03,81.47
