vehicle_id,brand,model,plug_in_time,plug_out_time,hours_available,soc_start_pct,soc_target_pct,battery_capacity_kwh,charge_rate_kw,rate_source,energy_needed_kwh,hours_needed,flexibility_ratio,slots_available,slots_needed,naive_cost_eur,actual_cost_eur,optimal_cost_eur,savings_eur,savings_pct,savings_vs_actual_eur,savings_vs_actual_pct,naive_avg_price_eur_mwh,actual_avg_price_eur_mwh,optimal_avg_price_eur_mwh,latitude,longitude
0178528f-8685-4234-9ccd-37923ed1c12f,Cupra,Tavascan,2026-01-05 05:49:04.729000+00:00,2026-01-05 15:48:31.193000+00:00,10.0,41,100.0,77.0,8.31,effective,45.43,5.5,1.83,11,6,6.1442,6.1512,5.675,0.4692,7.64,0.4762,7.7418,135.25,135.4,124.92,47.208145,7.554458
0178528f-8685-4234-9ccd-37923ed1c12f,Cupra,Tavascan,2026-01-09 06:14:16.712000+00:00,2026-01-09 15:15:30.051000+00:00,9.0,77,100.0,77.0,9.1,effective,17.71,1.9,4.64,10,2,2.2269,2.2349,2.1815,0.0455,2.04,0.0534,2.3896,125.74,126.1921,123.18,47.2079,0.0
0178528f-8685-4234-9ccd-37923ed1c12f,Cupra,Tavascan,2026-01-12 05:56:57.116000+00:00,2026-01-12 14:53:05.758000+00:00,8.9,37,100.0,77.0,9.13,effective,48.51,5.3,1.68,10,6,6.5151,6.5226,6.1877,0.3275,5.03,0.3349,5.1347,134.3,134.4582,127.55,47.208164,7.554389
0178528f-8685-4234-9ccd-37923ed1c12f,Cupra,Tavascan,2026-01-20 06:01:15.109000+00:00,2026-01-20 11:04:17.254000+00:00,5.1,61,100.0,77.0,7.27,effective,30.03,4.1,1.22,6,5,5.9824,6.0287,5.2872,0.6952,11.62,0.7415,12.2989,199.21,200.7546,176.06,47.207935,7.554666
0178528f-8685-4234-9ccd-37923ed1c12f,Cupra,Tavascan,2026-01-22 09:00:34.164000+00:00,2026-01-22 15:59:24.060000+00:00,7.0,29,100.0,77.0,9.5,effective,54.67,5.8,1.21,7,6,8.964,8.9599,8.6888,0.2752,3.07,0.2711,3.0255,163.97,163.8908,158.93,47.207924,7.554681
0178528f-8685-4234-9ccd-37923ed1c12f,Cupra,Tavascan,2026-01-23 06:22:59.218000+00:00,2026-01-23 15:31:31.398000+00:00,9.1,91,100.0,77.0,8.85,effective,6.93,0.8,11.67,10,1,1.1235,1.1134,1.0954,0.0282,2.51,0.018,1.6166,162.12,160.6571,158.06,47.207893,7.554717
0178528f-8685-4234-9ccd-37923ed1c12f,Cupra,Tavascan,2026-01-27 06:04:08.015000+00:00,2026-01-27 12:03:02.026000+00:00,6.0,45,100.0,77.0,8.11,effective,42.35,5.2,1.15,7,6,7.2258,7.2834,7.0191,0.2067,2.86,0.2643,3.6294,170.62,171.982,165.74,47.207626,7.554793
0178528f-8685-4234-9ccd-37923ed1c12f,Cupra,Tavascan,2026-02-02 06:15:51.944000+00:00,2026-02-02 17:04:07.094000+00:00,10.8,43,100.0,77.0,9.01,effective,43.89,4.9,2.22,12,5,6.8734,6.8889,6.3504,0.5231,7.61,0.5385,7.8169,156.61,156.9576,144.69,47.208073,7.554507
0178528f-8685-4234-9ccd-37923ed1c12f,Cupra,Tavascan,2026-02-05 06:09:17.289000+00:00,2026-02-05 15:39:36.442000+00:00,9.5,51,100.0,77.0,8.23,effective,37.73,4.6,2.07,10,5,5.4145,5.4274,4.9471,0.4674,8.63,0.4803,8.8501,143.51,143.8496,131.12,47.208093,7.554499
0178528f-8685-4234-9ccd-37923ed1c12f,Cupra,Tavascan,2026-02-06 06:51:03.281000+00:00,2026-02-06 14:20:18.367000+00:00,7.5,99,100.0,77.0,9.5,effective,0.77,0.1,92.38,9,1,0.0968,0.0968,0.0968,0.0,0.0,0.0,0.0,125.7,125.7,125.7,47.207912,7.554723
0178528f-8685-4234-9ccd-37923ed1c12f,Cupra,Tavascan,2026-02-12 09:32:41.527000+00:00,2026-02-12 17:11:01.163000+00:00,7.6,49,100.0,77.0,9.54,effective,39.27,4.1,1.86,9,5,4.9256,4.9235,4.7985,0.1271,2.58,0.125,2.5397,125.43,125.3757,122.19,47.207617,7.554782
0178528f-8685-4234-9ccd-37923ed1c12f,Cupra,Tavascan,2026-02-18 15:57:44.342000+00:00,2026-02-19 05:58:53.503000+00:00,14.0,25,100.0,77.0,10.07,effective,57.75,5.7,2.44,15,6,7.0948,6.3195,5.6078,1.4869,20.96,0.7117,11.2616,122.85,109.4286,97.11,47.238859,7.827753
0178528f-8685-4234-9ccd-37923ed1c12f,Cupra,Tavascan,2026-02-20 05:49:46.753000+00:00,2026-02-20 15:43:20.732000+00:00,9.9,37,100.0,77.0,9.3,effective,48.51,5.2,1.9,11,6,5.5224,5.5182,5.1683,0.3541,6.41,0.3499,6.3408,113.84,113.7537,106.54,47.207954,7.554643
0178528f-8685-4234-9ccd-37923ed1c12f,Cupra,Tavascan,2026-02-24 05:44:13.616000+00:00,2026-02-24 15:24:41.497000+00:00,9.7,47,100.0,77.0,5.74,effective,40.81,7.1,1.36,11,8,4.8585,4.8526,4.5111,0.3474,7.15,0.3416,7.0392,119.05,118.9082,110.54,47.207677,7.554691
0178528f-8685-4234-9ccd-37923ed1c12f,Cupra,Tavascan,2026-02-27 08:58:15.930000+00:00,2026-02-27 11:33:54.771000+00:00,2.6,98,100.0,77.0,9.56,effective,1.54,0.2,16.1,4,1,0.1624,0.1627,0.1355,0.0269,16.58,0.0272,16.7009,105.48,105.6314,87.99,47.20794,7.554655
0178528f-8685-4234-9ccd-37923ed1c12f,Cupra,Tavascan,2026-03-02 06:02:12.639000+00:00,2026-03-02 16:18:09.139000+00:00,10.3,39,100.0,77.0,8.37,effective,46.97,5.6,1.83,11,6,5.3161,5.3239,4.4966,0.8195,15.41,0.8273,15.5393,113.18,113.3466,95.73,47.208195,7.554397
0178528f-8685-4234-9ccd-37923ed1c12f,Cupra,Tavascan,2026-03-05 05:53:02.904000+00:00,2026-03-05 16:49:48.533000+00:00,10.9,42,100.0,77.0,7.31,effective,44.66,6.1,1.79,12,7,6.6747,6.6465,5.4538,1.2209,18.29,1.1926,17.9435,149.46,148.8233,122.12,47.208045,7.554561
01a8c775-889f-4d14-9c15-7b2969a2ef98,Cupra,Tavascan,2026-01-06 06:28:36.684000+00:00,2026-01-06 17:30:23.106000+00:00,11.0,52,100.0,77.0,7.85,effective,36.96,4.7,2.34,12,5,4.93,4.6995,4.4119,0.5181,10.51,0.2875,6.1186,133.39,127.1503,119.37,47.18832,8.475871
